,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
2777,04099,05,10,21,22,26,33,02
2778,04098,03,12,13,25,26,31,03
2779,04097,10,19,20,26,29,31,14
2780,04096,01,04,12,16,20,30,15
2781,04095,19,22,27,28,30,32,01
2782,04094,05,09,10,13,24,25,08
2783,04093,11,14,20,27,32,33,05
2784,04092,01,04,08,13,28,31,02
2785,04091,09,13,14,21,30,33,01
2786,04090,01,18,20,24,32,33,12
2787,04089,14,17,20,25,28,30,14
2788,04088,02,10,19,22,24,32,14
2789,04087,01,03,07,08,25,26,14
2790,04086,10,13,18,19,25,27,01
2791,04085,03,08,11,29,30,32,01
2792,04084,01,04,08,11,21,25,14
2793,04083,14,16,27,28,30,33,06
2794,04082,03,20,24,27,29,30,15
2795,04081,03,05,21,24,27,32,06
2796,04080,03,08,20,23,24,26,16
2797,04079,07,13,14,17,19,30,03
2798,04078,04,05,10,21,24,26,05
2799,04077,08,09,10,14,16,26,07
2800,04076,03,05,13,17,25,31,07
2801,04075,07,18,21,26,27,28,07
2802,04074,05,06,15,19,26,29,13
2803,04073,02,07,13,16,23,28,16
2804,04072,08,15,18,28,30,33,14
2805,04071,03,08,16,17,21,29,06
2806,04070,10,12,21,22,30,33,06
2807,04069,02,11,15,20,22,29,05
2808,04068,02,08,11,13,24,31,15
2809,04067,01,06,07,13,16,32,04
2810,04066,05,13,20,23,24,25,03
2811,04065,13,14,27,29,32,33,08
2812,04064,14,15,18,20,27,31,04
2813,04063,07,10,13,16,27,28,07
2814,04062,01,12,25,27,28,29,13
2815,04061,13,16,19,20,23,33,09
2816,04060,03,05,11,24,27,28,15
2817,04059,04,07,11,19,23,26,10
2818,04058,01,08,11,12,27,31,12
2819,04057,05,21,23,25,28,32,04
2820,04056,01,20,21,25,29,30,02
2821,04055,06,08,19,25,29,32,07
2822,04054,09,11,14,16,27,28,11
2823,04053,02,03,04,09,24,25,02
2824,04052,01,12,14,15,17,29,09
2825,04051,02,03,09,10,15,29,11
2826,04050,06,07,19,21,25,29,02
2827,04049,11,12,14,16,25,29,09
2828,04048,08,09,11,16,17,29,09
2829,04047,01,07,08,11,27,31,06
2830,04046,07,15,16,22,23,32,14
2831,04045,01,12,18,26,27,28,13
2832,04044,02,06,07,12,31,32,05
2833,04043,04,09,10,21,22,24,10
2834,04042,06,10,13,17,18,21,02
2835,04041,08,10,17,22,25,29,14
2836,04040,07,17,19,20,21,29,11
2837,04039,10,16,18,25,26,29,03
2838,04038,11,16,17,25,28,29,07
2839,04037,03,04,11,17,20,26,05
2840,04036,02,13,17,18,26,30,01
2841,04035,02,08,26,27,30,32,16
2842,04034,02,07,13,20,27,30,14
2843,04033,01,04,08,09,19,20,01
2844,04032,02,05,08,11,15,31,13
2845,04031,03,06,19,20,21,24,11
2846,04030,01,07,09,17,26,31,05
2847,04029,09,13,20,22,24,32,05
2848,04028,01,02,03,05,10,22,12
2849,04027,01,05,09,10,18,32,11
2850,04026,04,10,14,18,28,32,15
2851,04025,07,08,10,24,29,33,04
2852,04024,01,13,21,23,25,32,06
2853,04023,01,08,14,17,19,30,03
2854,04022,03,10,14,19,20,30,06
2855,04021,05,09,11,17,26,27,10
2856,04020,01,02,09,22,28,31,04
2857,04019,05,10,11,23,24,32,04
2858,04018,02,05,06,08,28,30,06
2859,04017,05,12,14,15,25,31,09
2860,04016,04,07,08,28,30,32,05
2861,04015,01,03,05,18,22,23,13
2862,04014,03,07,11,17,20,26,12
2863,04013,12,14,21,29,30,32,13
2864,04012,01,07,27,30,31,33,08
2865,04011,01,04,13,23,28,30,03
2866,04010,06,07,08,13,14,19,15
2867,04009,01,09,10,16,22,24,11
2868,04008,01,07,10,22,32,33,13
2869,04007,04,12,17,20,25,28,09
2870,04006,04,12,18,20,23,32,06
2871,04005,09,11,13,16,17,18,07
2872,04004,10,19,22,23,25,29,09
2873,04003,03,05,06,17,26,33,08
2874,04002,10,12,18,22,30,31,11
2875,04001,01,02,03,07,10,25,07
2876,03089,18,19,21,26,27,33,16
2877,03088,03,10,21,22,24,33,12
2878,03087,02,03,04,05,24,28,13
2879,03086,05,12,16,18,26,30,13
2880,03085,01,04,11,12,19,27,14
2881,03084,02,06,07,10,17,33,03
2882,03083,01,03,14,18,26,28,01
2883,03082,07,17,18,19,30,31,14
2884,03081,01,02,14,26,29,30,07
2885,03080,09,20,24,25,28,30,10
2886,03079,12,15,22,23,26,31,04
2887,03078,07,12,23,26,29,30,11
2888,03077,04,12,16,22,24,25,06
2889,03076,01,13,16,18,20,29,02
2890,03075,16,17,19,22,31,33,11
2891,03074,02,12,19,22,27,32,01
2892,03073,02,12,14,21,23,30,13
2893,03072,03,06,08,11,19,27,11
2894,03071,09,11,12,14,15,33,11
2895,03070,01,02,04,17,18,19,08
2896,03069,07,11,16,19,26,28,11
2897,03068,09,19,25,27,32,33,11
2898,03067,05,11,12,13,27,31,10
2899,03066,03,07,08,20,24,32,14
2900,03065,06,15,16,17,30,33,11
2901,03064,04,06,08,12,15,30,01
2902,03063,05,08,09,14,21,33,11
2903,03062,01,06,12,19,20,32,14
2904,03061,03,05,20,21,28,32,02
2905,03060,02,04,06,17,21,28,11
2906,03059,02,03,05,06,18,30,04
2907,03058,09,11,16,28,32,33,02
2908,03057,18,19,24,25,30,31,16
2909,03056,08,17,21,26,28,29,07
2910,03055,06,13,16,21,28,31,16
2911,03054,02,05,09,21,31,33,12
2912,03053,15,19,20,21,28,29,13
2913,03052,01,12,13,23,30,31,11
2914,03051,04,13,15,17,24,27,01
2915,03050,02,08,17,23,24,26,13
2916,03049,03,06,07,13,24,25,15
2917,03048,10,12,20,28,30,31,09
2918,03047,03,17,26,28,32,33,16
2919,03046,07,08,10,11,17,26,11
2920,03045,03,07,14,15,17,32,03
2921,03044,02,05,09,16,32,33,15
2922,03043,02,08,10,19,20,32,13
2923,03042,03,05,07,10,15,20,07
2924,03041,02,03,17,18,24,25,11
2925,03040,04,05,06,12,14,23,16
2926,03039,03,05,23,24,27,32,03
2927,03038,05,07,08,24,25,27,16
2928,03037,09,14,17,18,26,32,07
2929,03036,07,21,24,25,27,28,15
2930,03035,03,04,05,08,10,11,08
2931,03034,08,13,14,16,23,25,14
2932,03033,01,07,14,20,27,30,10
2933,03032,04,11,25,27,29,30,13
2934,03031,11,17,20,22,28,32,01
2935,03030,02,06,13,14,23,27,07
2936,03029,02,07,15,26,29,32,10
2937,03028,06,13,16,20,28,32,07
2938,03027,01,11,14,17,27,28,15
2939,03026,08,13,15,26,29,31,16
2940,03025,01,05,11,13,14,27,12
2941,03024,02,07,15,17,22,30,14
2942,03023,01,10,20,22,26,31,02
2943,03022,02,07,11,12,14,32,08
2944,03021,14,15,18,25,26,30,01
2945,03020,07,10,25,26,27,32,04
2946,03019,04,08,12,13,16,33,09
2947,03018,05,16,19,20,25,28,13
2948,03017,05,08,18,23,25,31,06
2949,03016,11,17,28,30,31,33,06
2950,03015,04,11,19,25,26,32,13
2951,03014,03,05,07,08,21,31,02
2952,03013,08,13,17,21,23,32,12
2953,03012,02,12,16,17,27,30,12
2954,03011,04,05,11,12,30,32,15
2955,03010,01,02,08,13,17,24,13
2956,03009,05,09,18,20,22,30,09
2957,03008,05,08,09,14,17,23,08
2958,03007,01,09,19,21,23,26,07
2959,03006,01,03,10,21,26,27,06
2960,03005,04,06,15,17,30,31,16
2961,03004,04,06,07,10,13,25,03
2962,03003,01,07,10,23,28,32,16
2963,03002,04,09,19,20,21,26,12
2964,03001,10,11,12,13,26,28,11
